Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default P(X),Loss (X),X.P(X),Expected loss,,,,
82,15.42,22.36%,0.0097,1197208.8,11612.92536,,,,,
83,22.33,30.80%,0.0079,1545236,12207.3644,,,,,
84,16.54,34.78%,0.0007,1078738.8,755.11716,,,,,
85,1.32,0.60%,0.0033,131208,432.9864,,,,,
86,1.45,37.05%,0.0066,91277.5,602.4315,,,,,
87,4.14,2.31%,0.0019,404436.6,768.42954,,,,,
88,13.79,27.93%,0.0017,993845.3,1689.53701,,,,,
89,19.6,16.33%,0.0036,1639932,5903.7552,,,,,
90,3.09,7.97%,0.0076,284372.7,2161.23252,,,,,
91,24.3,20.84%,0.0077,1923588,14811.6276,,,,,
92,6.11,33.57%,0.0043,405887.3,1745.31539,,,,,
93,3.7,33.84%,0.0072,244792,1762.5024,,,,,
94,6.22,34.44%,0.0095,407783.2,3873.9404,,,,,
95,13.63,7.72%,0.0074,1257776.4,9307.54536,,,,,
96,12.63,30.63%,0.0051,876143.1,4468.32981,,,,,
97,3.25,16.20%,0.0029,272350,789.815,,,,,
98,21.77,22.74%,0.0021,1681950.2,3532.09542,,,,,
99,20.72,19.54%,0.0091,1667131.2,15170.89392,,,,,
100,15.85,35.67%,0.0025,1019630.5,2549.07625,,,,,
101,10.62,28.65%,0.0006,757737,454.6422,,,,,
102,23.62,13.88%,0.0035,2034154.4,7119.5404,,,,,
103,15.18,9.39%,0.0025,1375459.8,3438.6495,,,,,
104,3.17,22.62%,0.0097,245294.6,2379.35762,,,,,
105,18.99,28.53%,0.0067,1357215.3,9093.34251,,,,,
106,3.72,16.81%,0.0087,309466.8,2692.36116,,,,,
107,23.07,11.95%,0.0059,2031313.5,11984.74965,,,,,
108,19.76,39.22%,0.005,1201012.8,6005.064,,,,,
109,22.17,38.07%,0.0034,1372988.1,4668.15954,,,,,
110,22.09,2.08%,0.0065,2163052.8,14059.8432,,,,,
111,2.04,36.63%,0.0027,129274.8,349.04196,,,,,
112,9.04,0.29%,0.0005,901378.4,450.6892,,,,,
113,18.03,17.65%,0.0074,1484770.5,10987.3017,,,,,
114,19.89,38.91%,0.0025,1215080.1,3037.70025,,,,,
115,14.7,7.55%,0.003,1359015,4077.045,,,,,
116,21.6,30.81%,0.0085,1494504,12703.284,,,,,
117,8.79,24.57%,0.003,663029.7,1989.0891,,,,,
118,17.12,3.87%,0.0085,1645745.6,13988.8376,,,,,
119,11.24,20.44%,0.01,894254.4,8942.544,,,,,
120,24.29,19.87%,0.0053,1946357.7,10315.69581,,,,,
121,2.53,2.64%,0.0067,246320.8,1650.34936,,,,,
122,9.78,10.83%,0.0069,872082.6,6017.36994,,,,,
123,9.03,25.08%,0.0014,676527.6,947.13864,,,,,
124,21.77,0.95%,0.0067,2156318.5,14447.33395,,,,,
125,17.23,9.27%,0.0021,1563277.9,3282.88359,,,,,
126,21.67,5.05%,0.0083,2057566.5,17077.80195,,,,,
127,23.71,14.67%,0.0002,2023174.3,404.63486,,,,,
128,9.94,32.46%,0.0095,671347.6,6377.8022,,,,,
129,23.44,10.84%,0.0079,2089910.4,16510.29216,,,,,
130,4.53,27.94%,0.0039,326431.8,1273.08402,,,,,
131,7.7,36.74%,0.0014,487102,681.9428,,,,,
132,18.7,2.69%,0.005,1819697,9098.485,,,,,
133,3.7,33.10%,0.0083,247530,2054.499,,,,,
134,4.61,3.95%,0.0008,442790.5,354.2324,,,,,
135,12.01,23.40%,0.0028,919966,2575.9048,,,,,
136,23.35,36.89%,0.0099,1473618.5,14588.82315,,,,,
137,6.95,34.73%,0.0072,453626.5,3266.1108,,,,,
138,8.99,29.33%,0.0073,635323.3,4637.86009,,,,,
139,4.43,21.00%,0.0063,349970,2204.811,,,,,
140,10.27,7.30%,0.0041,952029,3903.3189,,,,,
141,22.71,24.70%,0.0067,1710063,11457.4221,,,,,
142,17.95,38.31%,0.0006,1107335.5,664.4013,,,,,
143,20.48,30.63%,0.0039,1420697.6,5540.72064,,,,,
144,19.79,33.64%,0.0042,1313264.4,5515.71048,,,,,
145,12.04,14.15%,0.003,1033634,3100.902,,,,,
146,6.02,28.75%,0.0049,428925,2101.7325,,,,,
147,21.42,20.64%,0.0062,1699891.2,10539.32544,,,,,
148,6.41,35.78%,0.008,411650.2,3293.2016,,,,,
149,2.91,6.58%,0.0007,271852.2,190.29654,,,,,
150,24.69,7.65%,0.0062,2280121.5,14136.7533,,,,,
151,20.65,32.09%,0.0095,1402341.5,13322.24425,,,,,
152,22.59,10.93%,0.0028,2012091.3,5633.85564,,,,,
153,7.85,13.06%,0.0076,682479,5186.8404,,,,,
154,15.23,6.70%,0.0035,1420959,4973.3565,,,,,
155,17.09,37.73%,0.0002,1064194.3,212.83886,,,,,
156,2.28,9.97%,0.0062,205268.4,1272.66408,,,,,
157,18.73,22.53%,0.0049,1451013.1,7109.96419,,,,,
158,20.65,12.98%,0.0042,1796963,7547.2446,,,,,
159,4.31,11.48%,0.0021,381521.2,801.19452,,,,,
160,15.91,24.35%,0.0023,1203591.5,2768.26045,,,,,
161,17.97,19.94%,0.0061,1438678.2,8775.93702,,,,,
162,15.48,6.93%,0.0016,1440723.6,2305.15776,,,,,
163,18.75,4.93%,0.0017,1782562.5,3030.35625,,,,,
164,6.65,27.29%,0.0047,483521.5,2272.55105,,,,,
165,15.94,13.04%,0.0002,1386142.4,277.22848,,,,,
166,6.64,30.41%,0,462077.6,0,,,,,
167,17.29,35.48%,0.0092,1115550.8,10263.06736,,,,,
168,21,38.65%,0.0076,1288350,9791.46,,,,,
169,5.07,26.56%,0.0091,372340.8,3388.30128,,,,,
170,2.62,26.87%,0.0023,191600.6,440.68138,,,,,
171,16.14,22.56%,0.0064,1249881.6,7999.24224,,,,,
172,1.96,26.50%,0.003,144060,432.18,,,,,
173,10.48,29.41%,0.0076,739783.2,5622.35232,,,,,
174,20.01,36.15%,0.009,1277638.5,11498.7465,,,,,
175,7.4,26.02%,0.0067,547452,3667.9284,,,,,
176,23.68,30.66%,0.0045,1641971.2,7388.8704,,,,,
177,4.8,36.15%,0.0096,306480,2942.208,,,,,
178,7.34,39.28%,0.0044,445684.8,1961.01312,,,,,
179,21.63,24.63%,0.0092,1630253.1,14998.32852,,,,,
180,6.29,4.94%,0.0016,597927.4,956.68384,,,,,
181,15.18,15.49%,0.003,1282861.8,3848.5854,,,,,
182,22.72,1.53%,0.0002,2237238.4,447.44768,,,,,
183,13.28,17.18%,0.0059,1099849.6,6489.11264,,,,,
184,2.47,31.07%,0.0046,170257.1,783.18266,,,,,
185,18.02,14.60%,0.0055,1538908,8463.994,,,,,
186,18.3,36.79%,0.0054,1156743,6246.4122,,,,,
187,10.47,22.89%,0.0062,807341.7,5005.51854,,,,,
188,23.76,0.11%,0.0017,2373386.4,4034.75688,,,,,
189,9.02,28.30%,0.0046,646734,2974.9764,,,,,
190,10.52,28.79%,0.0057,749129.2,4270.03644,,,,,
191,16.75,22.87%,0.0047,1291927.5,6072.05925,,,,,
192,8.05,28.58%,0.0016,574931,919.8896,,,,,
193,23.17,26.33%,0.0067,1706933.9,11436.45713,,,,,
194,3.37,11.42%,0.0055,298514.6,1641.8303,,,,,
195,8.79,38.51%,0.0049,540497.1,2648.43579,,,,,
196,5.81,2.84%,0.0075,564499.6,4233.747,,,,,
197,21.12,31.13%,0.0062,1454534.4,9018.11328,,,,,
198,1.61,15.47%,0.0066,136093.3,898.21578,,,,,
199,5.69,7.61%,0.003,525699.1,1577.0973,,,,,
200,13.74,30.89%,0.0062,949571.4,5887.34268,,,,,
201,14.14,4.67%,0.0039,1347966.2,5257.06818,,,,,
202,18.39,6.44%,0.0059,1720568.4,10151.35356,,,,,
203,12.38,6.97%,0.001,1151711.4,1151.7114,,,,,
204,16.33,21.12%,0.0009,1288110.4,1159.29936,,,,,
205,14.06,20.09%,0.0044,1123534.6,4943.55224,,,,,
206,1.5,14.73%,0.001,127905,127.905,,,,,
207,19.49,20.49%,0.0099,1549649.9,15341.53401,,,,,
208,11.41,12.84%,0.003,994495.6,2983.4868,,,,,
209,21.18,37.26%,0.0092,1328833.2,12225.26544,,,,,
210,19.71,18.65%,0.0054,1603408.5,8658.4059,,,,,
211,3.62,7.53%,0.0023,334741.4,769.90522,,,,,
212,8.08,16.41%,0.0058,675407.2,3917.36176,,,,,
213,14.72,23.82%,0.008,1121369.6,8970.9568,,,,,
214,15.17,38.68%,0.0014,930224.4,1302.31416,,,,,
215,13.1,12.87%,0.007,1141403,7989.821,,,,,
216,18.51,35.35%,0.0097,1196671.5,11607.71355,,,,,
217,9.59,3.24%,0.0012,927928.4,1113.51408,,,,,
218,8.53,33.21%,0.0017,569718.7,968.52179,,,,,
219,10.46,1.37%,0.0064,1031669.8,6602.68672,,,,,
220,14.35,3.28%,0.0093,1387932,12907.7676,,,,,
221,7.34,3.79%,0.0042,706181.4,2965.96188,,,,,
222,9.67,4.09%,0.0059,927449.7,5471.95323,,,,,
223,10.57,4.11%,0.0079,1013557.3,8007.10267,,,,,
224,16.45,20.32%,0.0078,1310736,10223.7408,,,,,
225,22.45,11.58%,0.0081,1985029,16078.7349,,,,,
226,8.69,19.33%,0.0089,701022.3,6239.09847,,,,,
227,14.71,31.61%,0.002,1006016.9,2012.0338,,,,,
228,11.3,34.09%,0,744783,0,,,,,
229,9.45,14.12%,0.004,811566,3246.264,,,,,
230,19.75,38.81%,0.0023,1208502.5,2779.55575,,,,,
231,9.31,34.71%,0.0013,607849.9,790.20487,,,,,
232,1.87,37.17%,0.0051,117492.1,599.20971,,,,,
233,6.28,13.94%,0.0048,540456.8,2594.19264,,,,,
234,23.05,27.71%,0.0009,1666284.5,1499.65605,,,,,
235,17.28,17.96%,0.0022,1417651.2,3118.83264,,,,,
236,2.98,35.28%,0.0076,192865.6,1465.77856,,,,,
237,0.09,33.54%,0.0057,5981.4,34.09398,,,,,
238,2.34,27.12%,0.0064,170539.2,1091.45088,,,,,
239,7.24,25.80%,0.0008,537208,429.7664,,,,,
240,14.18,28.87%,0.0011,1008623.4,1109.48574,,,,,
241,19.89,27.58%,0.0056,1440433.8,8066.42928,,,,,
242,4.61,30.67%,0.0083,319611.3,2652.77379,,,,,
243,22.55,19.51%,0.0039,1815049.5,7078.69305,,,,,
244,14.7,34.72%,0.0019,959616,1823.2704,,,,,
245,9.6,5.04%,0.0037,911616,3372.9792,,,,,
246,1.51,27.56%,0.0061,109384.4,667.24484,,,,,
247,22.18,17.54%,0.0006,1828962.8,1097.37768,,,,,
248,19.02,34.45%,0.0019,1246761,2368.8459,,,,,
249,0.3,35.13%,0.0018,19461,35.0298,,,,,
250,2.17,2.64%,0.0059,211271.2,1246.50008,,,,,
251,20.63,36.87%,0.004,1302371.9,5209.4876,,,,,
252,12.63,24.75%,0.0007,950407.5,665.28525,,,,,
253,23.51,31.82%,0.0082,1602911.8,13143.87676,,,,,
254,13.39,6.91%,0.0004,1246475.1,498.59004,,,,,
255,12.51,38.56%,0.0015,768614.4,1152.9216,,,,,
256,21.75,2.25%,0.0093,2126062.5,19772.38125,,,,,
257,2.08,36.27%,0.0062,132558.4,821.86208,,,,,
258,0.82,16.07%,0.0031,68822.6,213.35006,,,,,
259,9.8,4.90%,0.0077,931980,7176.246,,,,,
260,14.3,37.01%,0.0013,900757,1170.9841,,,,,
261,23.06,24.36%,0.0047,1744258.4,8198.01448,,,,,
262,3.57,13.95%,0.0036,307198.5,1105.9146,,,,,
263,0.52,12.56%,0.0095,45468.8,431.9536,,,,,
264,5.25,25.19%,0.0038,392752.5,1492.4595,,,,,
265,5.03,37.77%,0.0024,313016.9,751.24056,,,,,
266,14.67,38.05%,0.0027,908806.5,2453.77755,,,,,
267,20.59,28.61%,0.005,1469920.1,7349.6005,,,,,
268,22.42,20.89%,0.0001,1773646.2,177.36462,,,,,
269,18.79,26.90%,0.001,1373549,1373.549,,,,,
270,22.11,30.98%,0.0043,1526032.2,6561.93846,,,,,
271,2.55,16.07%,0.0081,214021.5,1733.57415,,,,,
272,5.04,10.19%,0.0026,452642.4,1176.87024,,,,,
273,2.31,10.09%,0.0093,207692.1,1931.53653,,,,,
274,15.37,31.97%,0.0004,1045621.1,418.24844,,,,,
275,21.05,29.96%,0.0013,1474342,1916.6446,,,,,
276,23,31.16%,0.0051,1583320,8074.932,,,,,
277,14.81,30.02%,0.0085,1036403.8,8809.4323,,,,,
278,22.92,37.66%,0.0067,1428832.8,9573.17976,,,,,
279,16.32,10.00%,0.0076,1468800,11162.88,,,,,
280,20.65,25.77%,0.0012,1532849.5,1839.4194,,,,,
281,6.99,15.28%,0.0073,592192.8,4323.00744,,,,,
282,12.09,8.21%,0.0089,1109741.1,9876.69579,,,,,
283,18.62,1.06%,0.0012,1842262.8,2210.71536,,,,,
284,9.49,20.89%,0.0077,750753.9,5780.80503,,,,,
285,10.81,0.90%,0.0068,1071271,7284.6428,,,,,
286,3.06,2.92%,0.0046,297064.8,1366.49808,,,,,
287,7.65,11.79%,0.0073,674806.5,4926.08745,,,,,
288,18.67,33.79%,0.002,1236140.7,2472.2814,,,,,
289,9.98,19.38%,0.0058,804587.6,4666.60808,,,,,
290,11.76,13.70%,0.0054,1014888,5480.3952,,,,,
291,13.94,25.68%,0.0039,1036020.8,4040.48112,,,,,
292,9.54,35.38%,0.0051,616474.8,3144.02148,,,,,
293,1.52,37.79%,0.0019,94559.2,179.66248,,,,,
294,13.13,16.92%,0.0088,1090840.4,9599.39552,,,,,
295,19.85,31.76%,0.0089,1354564,12055.6196,,,,,
296,9.46,3.70%,0.0031,910998,2824.0938,,,,,
297,14.66,7.87%,0.0061,1350625.8,8238.81738,,,,,
298,6.46,39.48%,0.0033,390959.2,1290.16536,,,,,
299,14.97,34.05%,0.0092,987271.5,9082.8978,,,,,
300,3.22,21.69%,0.0091,252158.2,2294.63962,,,,,
301,20.57,24.25%,0.0064,1558177.5,9972.336,,,,,
302,17.22,21.78%,0.0094,1346948.4,12661.31496,,,,,
303,8.43,21.13%,0.0054,664874.1,3590.32014,,,,,
304,10.55,28.77%,0.001,751476.5,751.4765,,,,,
305,21.27,37.56%,0.0052,1328098.8,6906.11376,,,,,
306,13.69,14.89%,0.0059,1165155.9,6874.41981,,,,,
307,12.25,31.68%,0.0096,836920,8034.432,,,,,
308,3.38,10.36%,0.0063,302983.2,1908.79416,,,,,
309,1.66,23.75%,0.0045,126575,569.5875,,,,,
310,7.41,3.09%,0.0084,718103.1,6032.06604,,,,,
311,6.07,25.04%,0.0024,455007.2,1092.01728,,,,,
312,8.11,2.37%,0.0002,791779.3,158.35586,,,,,
313,20.6,10.27%,0.0087,1848438,16081.4106,,,,,
314,13.4,16.68%,0.0096,1116488,10718.2848,,,,,
315,18.16,18.82%,0.006,1474228.8,8845.3728,,,,,
316,10.29,26.62%,0.0013,755080.2,981.60426,,,,,
317,2.98,23.74%,0.0025,227254.8,568.137,,,,,
318,13.91,14.85%,0.0059,1184436.5,6988.17535,,,,,
319,6.81,33.82%,0.0003,450685.8,135.20574,,,,,
320,5.88,20.22%,0.002,469106.4,938.2128,,,,,
321,14.15,33.38%,0.0007,942673,659.8711,,,,,
322,24.88,32.24%,0.0059,1685868.8,9946.62592,,,,,
323,12.32,12.58%,0.0084,1077014.4,9046.92096,,,,,
324,3.73,4.23%,0.0066,357222.1,2357.66586,,,,,
325,5.62,5.11%,0.0069,533281.8,3679.64442,,,,,
326,18.25,0.93%,0.0056,1808027.5,10124.954,,,,,
327,6.13,22.96%,0.0028,472255.2,1322.31456,,,,,
328,13.23,10.68%,0.0076,1181703.6,8980.94736,,,,,
329,19.28,30.00%,0.0068,1349600,9177.28,,,,,
330,13.28,7.09%,0.0063,1233844.8,7773.22224,,,,,
331,3.84,37.28%,0.0048,240844.8,1156.05504,,,,,
332,21.84,13.71%,0.0092,1884573.6,17338.07712,,,,,
333,17.91,8.13%,0.0082,1645391.7,13492.21194,,,,,
334,3.67,13.90%,0.0085,315987,2685.8895,,,,,
335,19.08,23.12%,0.0002,1466870.4,293.37408,,,,,
336,20.58,38.02%,0.0065,1275548.4,8291.0646,,,,,
337,0.99,30.33%,0.0092,68973.3,634.55436,,,,,
338,9.13,38.84%,0.0033,558390.8,1842.68964,,,,,
339,24.23,6.66%,0.0099,2261628.2,22390.11918,,,,,
340,10.97,39.52%,0.0085,663465.6,5639.4576,,,,,
341,20.23,10.89%,0.0096,1802695.3,17305.87488,,,,,
342,8.49,20.49%,0.0046,675039.9,3105.18354,,,,,
343,21.12,20.01%,0.0036,1689388.8,6081.79968,,,,,
344,3.78,3.90%,0.0011,363258,399.5838,,,,,
345,16.1,22.54%,0.0052,1247106,6484.9512,,,,,
346,3.89,13.68%,0.0047,335784.8,1578.18856,,,,,
347,9.09,18.02%,0.0011,745198.2,819.71802,,,,,
348,3.51,29.99%,0.0076,245735.1,1867.58676,,,,,
349,15.73,33.88%,0.001,1040067.6,1040.0676,,,,,
350,1.62,4.79%,0.0048,154240.2,740.35296,,,,,
351,12.02,15.49%,0.0027,1015810.2,2742.68754,,,,,
352,18.82,33.52%,0.0012,1251153.6,1501.38432,,,,,
353,8.81,8.92%,0.0083,802414.8,6660.04284,,,,,
354,16.97,33.43%,0.0085,1129692.9,9602.38965,,,,,
355,8.23,7.45%,0.0017,761686.5,1294.86705,,,,,
356,4.61,28.55%,0.0049,329384.5,1613.98405,,,,,
357,5.21,34.67%,0.0077,340369.3,2620.84361,,,,,
358,21.55,27.47%,0.0059,1563021.5,9221.82685,,,,,
359,8.45,8.21%,0.0035,775625.5,2714.68925,,,,,
360,10.16,17.22%,0.0059,841044.8,4962.16432,,,,,
361,20.56,10.63%,0.0085,1837447.2,15618.3012,,,,,
362,12.55,1.86%,0.0006,1231657,738.9942,,,,,
363,14.71,6.77%,0.002,1371413.3,2742.8266,,,,,
364,0.48,18.77%,0.0065,38990.4,253.4376,,,,,
365,15.17,28.94%,0.0024,1077980.2,2587.15248,,,,,
366,2.03,25.03%,0.0024,152189.1,365.25384,,,,,
367,2.59,30.20%,0.0042,180782,759.2844,,,,,
368,24.05,13.69%,0.0068,2075755.5,14115.1374,,,,,
369,14.22,27.96%,0.0062,1024408.8,6351.33456,,,,,
370,19.21,28.45%,0.0035,1374475.5,4810.66425,,,,,
371,18.31,30.91%,0.0059,1265037.9,7463.72361,,,,,
372,17.45,20.59%,0.001,1385704.5,1385.7045,,,,,
373,9.12,32.01%,0.0091,620068.8,5642.62608,,,,,
374,1.31,31.71%,0.0024,89459.9,214.70376,,,,,
375,5.66,39.31%,0.0081,343505.4,2782.39374,,,,,
376,15.01,7.95%,0.0069,1381670.5,9533.52645,,,,,
377,10.92,15.00%,0.0062,928200,5754.84,,,,,
378,3.05,24.13%,0.007,231403.5,1619.8245,,,,,
379,0.39,35.70%,0.0077,25077,193.0929,,,,,
380,23.23,2.87%,0.0069,2256329.9,15568.67631,,,,,
381,13.26,19.48%,0.0053,1067695.2,5658.78456,,,,,
382,12.7,24.02%,0.0041,964946,3956.2786,,,,,
383,22.58,30.24%,0.0037,1575180.8,5828.16896,,,,,
384,19.86,7.27%,0.0045,1841617.8,8287.2801,,,,,
385,8.9,2.27%,0.0029,869797,2522.4113,,,,,
386,24.28,7.86%,0.0093,2237159.2,20805.58056,,,,,
387,13.55,3.86%,0.0037,1302697,4819.9789,,,,,
388,8.65,4.12%,0.0049,829362,4063.8738,,,,,
389,3.4,24.88%,0.0019,255408,485.2752,,,,,
390,22.05,4.03%,0.0059,2116138.5,12485.21715,,,,,
391,20.98,26.35%,0.0049,1545177,7571.3673,,,,,
392,21.26,21.94%,0.0007,1659555.6,1161.68892,,,,,
393,2.59,35.57%,0.0005,166873.7,83.43685,,,,,
394,21.77,31.70%,0.0014,1486891,2081.6474,,,,,
395,17.66,17.73%,0.0068,1452888.2,9879.63976,,,,,
396,5.01,35.97%,0.0027,320790.3,866.13381,,,,,
397,14.17,31.43%,0.0042,971636.9,4080.87498,,,,,
398,4.15,18.68%,0.0071,337478,2396.0938,,,,,
399,11.27,36.62%,0.0076,714292.6,5428.62376,,,,,
400,6.16,29.76%,0.0021,432678.4,908.62464,,,,,
401,7.46,32.65%,0.0076,502431,3818.4756,,,,,
402,8.37,33.23%,0.0084,558864.9,4694.46516,,,,,
403,21.24,38.76%,0.0023,1300737.6,2991.69648,,,,,
404,10,37.05%,0.0007,629500,440.65,,,,,
405,21.68,37.08%,0.0072,1364105.6,9821.56032,,,,,
406,4.29,34.71%,0.0077,280094.1,2156.72457,,,,,
407,20.83,22.25%,0.0078,1619532.5,12632.3535,,,,,
408,12.47,6.52%,0.0081,1165695.6,9442.13436,,,,,
409,0.4,25.32%,0.0017,29872,50.7824,,,,,
410,15.16,13.04%,0.0095,1318313.6,12523.9792,,,,,
411,15.32,36.40%,0.0035,974352,3410.232,,,,,
412,20.3,15.49%,0.0087,1715553,14925.3111,,,,,
413,22.85,28.12%,0.0091,1642458,14946.3678,,,,,
414,2.15,23.14%,0.0097,165249,1602.9153,,,,,
415,22.73,37.87%,0.0083,1412214.9,11721.38367,,,,,
416,22.63,2.74%,0.0015,2200993.8,3301.4907,,,,,
417,23.48,39.50%,0.0079,1420540,11222.266,,,,,
418,2.23,21.37%,0.0055,175344.9,964.39695,,,,,
419,1.38,37.92%,0.0096,85670.4,822.43584,,,,,
420,16.04,18.19%,0.0072,1312232.4,9448.07328,,,,,
421,17.37,31.79%,0.0063,1184807.7,7464.28851,,,,,
422,4.09,3.06%,0.0002,396484.6,79.29692,,,,,
423,9.84,28.29%,0.0071,705626.4,5009.94744,,,,,
424,0.88,37.64%,0.0049,54876.8,268.89632,,,,,
425,24.91,35.30%,0.0075,1611677,12087.5775,,,,,
426,15.98,20.84%,0.0073,1264976.8,9234.33064,,,,,
427,16.38,32.55%,0.0079,1104831,8728.1649,,,,,
428,15.55,13.85%,0.0039,1339632.5,5224.56675,,,,,
429,12.22,0.72%,0.0003,1213201.6,363.96048,,,,,
430,0.91,38.70%,0.0022,55783,122.7226,,,,,
431,12.92,33.15%,0.0037,863702,3195.6974,,,,,
432,14.55,6.09%,0.0007,1366390.5,956.47335,,,,,
433,8.76,1.79%,0.0015,860319.6,1290.4794,,,,,
434,16.71,13.29%,0.0036,1448924.1,5216.12676,,,,,
435,13.01,30.73%,0.0093,901202.7,8381.18511,,,,,
436,18.33,12.63%,0.0079,1601492.1,12651.78759,,,,,
437,9.93,12.86%,0.0008,865300.2,692.24016,,,,,
438,22.13,24.80%,0.0018,1664176,2995.5168,,,,,
439,5.31,1.90%,0.001,520911,520.911,,,,,
