S. No.,Monthly Rent,,Mean,,,,Standard deviation
92,51600,,,,36348841,,
93,58600,,,,169754841,,
94,52600,,,,49406841,,
95,49000,,,,11758041,,
96,49900,,,,18740241,,
97,51300,,,,32821441,,
98,58900,,,,177662241,,
99,32900,,,,160554241,,
100,47300,,,,2989441,,
101,40100,,,,29931841,,
102,47700,,,,4532641,,
103,38200,,,,54331641,,
104,31000,,,,212314041,,
105,47500,,,,3721041,,
106,39100,,,,41873841,,
107,45800,,,,52441,,
108,41000,,,,20894041,,
109,49700,,,,17048641,,
110,33100,,,,155525841,,
111,34400,,,,124791241,,
112,45000,,,,326041,,
113,44600,,,,942841,,
114,37800,,,,60388441,,
115,47100,,,,2337841,,
116,34100,,,,131583841,,
117,46800,,,,1510441,,
118,49000,,,,11758041,,
119,41000,,,,20894041,,
120,38200,,,,54331641,,
121,30900,,,,215238241,,
122,43700,,,,3500641,,
123,41900,,,,13476241,,
124,46900,,,,1766241,,
125,44600,,,,942841,,
126,55800,,,,104632441,,
127,47000,,,,2042041,,
128,56900,,,,128346241,,
129,55200,,,,92717641,,
130,43700,,,,3500641,,
131,57700,,,,147112641,,
132,41600,,,,15768841,,
133,43900,,,,2792241,,
134,44400,,,,1371241,,
135,41900,,,,13476241,,
136,45500,,,,5041,,
137,58000,,,,154480041,,
138,51800,,,,38800441,,
139,59100,,,,183033841,,
140,53200,,,,58201641,,
141,44600,,,,942841,,
142,42300,,,,10699441,,
143,52000,,,,41332041,,
144,58200,,,,159491641,,
145,57200,,,,135233641,,
146,42100,,,,12047841,,
147,45500,,,,5041,,
148,55100,,,,90801841,,
149,33200,,,,153041641,,
150,42700,,,,8242641,,
151,47300,,,,2989441,,
152,39200,,,,40589641,,
153,47800,,,,4968441,,
154,41500,,,,16573041,,
155,40700,,,,23726641,,
156,33200,,,,153041641,,
157,42200,,,,11363641,,
158,32500,,,,170851041,,
159,43800,,,,3136441,,
160,33000,,,,158030041,,
161,33400,,,,148133241,,
162,34200,,,,129299641,,
163,35700,,,,97436641,,
164,47100,,,,2337841,,
165,48100,,,,6395841,,
166,30500,,,,227135041,,
167,43000,,,,6610041,,
168,37900,,,,58844241,,
169,41700,,,,14984641,,
170,48000,,,,5900041,,
171,48300,,,,7447441,,
172,48900,,,,11082241,,
173,42000,,,,12752041,,
174,40400,,,,26739241,,
175,57700,,,,147112641,,
176,44300,,,,1615441,,
177,46700,,,,1274641,,
178,53900,,,,69372241,,
179,40100,,,,29931841,,
180,40500,,,,25715041,,
181,45500,,,,5041,,
182,44400,,,,1371241,,
183,42300,,,,10699441,,
184,59800,,,,202464441,,
185,44600,,,,942841,,
186,58300,,,,162027441,,
187,42600,,,,8826841,,
188,57200,,,,135233641,,
189,58500,,,,167159041,,
190,41800,,,,14220441,,
191,48100,,,,6395841,,
192,50700,,,,26306641,,
193,48600,,,,9174841,,
194,40800,,,,22762441,,
195,44700,,,,758641,,
196,49800,,,,17884441,,
197,51900,,,,40056241,,
198,55700,,,,102596641,,
199,45800,,,,52441,,
200,59500,,,,194017041,,
